,id,study,subgroup,ni,0,1+,2+,3+,y,xi,yi
0,11,"Beynnon et al., 2002",BPTB,22,10.0,10.0,2,0,2,12.0,0.556
1,11,"Beynnon et al., 2002",HT,22,3.0,6.0,8,5,13,19.0,0.867
2,13,"Björnsson et al., 2016",BPTB,61,30.0,24.0,6,1,7,31.0,0.512
3,13,"Björnsson et al., 2016",HT,86,19.0,46.0,12,9,21,67.0,0.78
4,23,"Ejerhed et al., 2003",BPTB,32,18.0,12.0,2,0,2,14.0,0.446
5,23,"Ejerhed et al., 2003",HT,33,16.0,17.0,0,0,0,17.0,0.522
6,26,"Feller & Webster, 2003",BPTB,42,36.0,6.0,0,0,0,6.0,0.153
7,26,"Feller & Webster, 2003",HT,47,28.0,19.0,0,0,0,19.0,0.411
8,30,"Gifstad et al., 2013",BPTB,45,29.0,15.0,1,0,1,16.0,0.363
9,30,"Gifstad et al., 2013",HT,32,19.0,12.0,1,0,1,13.0,0.415
10,32,"Guglielmetti et al., 2021",BPTB,31,22.0,7.0,1,1,2,9.0,0.302
11,32,"Guglielmetti et al., 2021",HT,31,22.0,6.0,2,1,3,9.0,0.302
12,33,"Harilainen et al., 2006",BPTB,37,29.0,8.0,0,0,0,8.0,0.227
13,33,"Harilainen et al., 2006",HT,37,31.0,5.0,1,0,1,6.0,0.173
14,37,"Ibrahim et al., 2005",BPTB,40,35.0,5.0,0,0,0,5.0,0.136
15,37,"Ibrahim et al., 2005",HT,46,39.0,7.0,0,0,0,7.0,0.161
16,41,"Jansson et al., 2003",BPTB,43,35.0,8.0,0,0,0,8.0,0.195
17,41,"Jansson et al., 2003",HT,46,38.0,8.0,0,0,0,8.0,0.183
18,45,"Konrads et al., 2016",BPTB,24,16.0,8.0,0,0,0,8.0,0.347
19,45,"Konrads et al., 2016",HT,23,12.0,9.0,1,1,2,11.0,0.489
20,51,"Li et al., 2015",HT,32,26.0,4.0,2,0,2,6.0,0.2
21,51,"Li et al., 2015",TA,32,19.0,9.0,3,1,4,13.0,0.415
22,52,"Lidén et al., 2007",BPTB,30,8.0,21.0,1,0,1,22.0,0.738
23,52,"Lidén et al., 2007",HT,32,7.0,23.0,1,1,2,25.0,0.785
24,55,"Lui et al., 2012",BPTB,14,10.0,4.0,0,0,0,4.0,0.31
25,55,"Lui et al., 2012",HT,38,32.0,6.0,0,0,0,6.0,0.169
26,58,"Lund et al., 2014",BPTB,18,14.0,3.0,1,0,1,4.0,0.243
27,58,"Lund et al., 2014",QT,21,16.0,4.0,1,0,1,5.0,0.256
28,70,"Noh et al., 2011",HT,33,27.0,5.0,1,0,1,6.0,0.194
29,70,"Noh et al., 2011",AT,32,26.0,3.0,3,0,3,6.0,0.2
30,76,"Pinczewski et al., 2007",BPTB,53,43.0,10.0,0,0,0,10.0,0.196
31,76,"Pinczewski et al., 2007",HT,58,46.0,11.0,1,0,1,12.0,0.214
34,82,"Sajovic et al., 2018",BPTB,24,19.0,5.0,0,0,0,5.0,0.224
35,82,"Sajovic et al., 2018",HT,24,19.0,5.0,0,0,0,5.0,0.224
36,97,"Yadav et al., 2025",HT,36,15.0,12.0,8,1,9,21.0,0.589
37,97,"Yadav et al., 2025",QT,33,24.0,6.0,3,0,3,9.0,0.284
38,98,"Yoo et al., 2017",HT,68,33.0,31.0,3,1,4,35.0,0.518
39,98,"Yoo et al., 2017",TA,64,30.0,28.0,4,2,6,34.0,0.535
